Word,Pronunciation,Vietnamese,Part_of_Speech,Example_Sentence,Fill_in_Blank_Question,Fill_in_Blank_Answer
friendly,/ˈfrendli/,thân thiện,adj,"She has a very friendly personality.","A _______ person is easy to talk to and makes others feel comfortable.",friendly
fussy,/ˈfʌsi/,cầu kỳ kiểu cách,adj,"He's very fussy about his food.","Don't be so _______ about small details.",fussy
generous,/ˈdʒenərəs/,rộng lượng hào phóng,adj,"She's generous with her time and money.","My grandmother is very _______ and always helps others.",generous
grateful,/ˈgreɪtfəl/,biết ơn,adj,"I'm grateful for your help.","I am _______ for everything you've done for me.",grateful
honest,/ˈɒnɪst/,thật thà lương thiện,adj,"He's an honest businessman.","An _______ person always tells the truth.",honest
kind,/kaɪnd/,tử tế tốt bụng,adj,"She's very kind to animals.","It was _______ of you to help me carry these bags.",kind
loyal,/ˈlɔɪəl/,trung thành trung nghĩa,adj,"Dogs are loyal companions.","A _______ friend will stand by you through difficult times.",loyal
mature,/məˈtʃʊə/,trưởng thành,adj,"She's very mature for her age.","He became more _______ after living independently.",mature
mean,/miːn/,keo kiệt,adj,"Don't be mean to your little sister.","It's _______ to make fun of other people's mistakes.",mean
modest,/ˈmɒdɪst/,khiêm tốn nhụt nhi,adj,"Despite his success he remains modest.","She's too _______ to talk about her achievements.",modest
nasty,/ˈnɑːsti/,bẩn thỉu thô tục,adj,"That was a nasty thing to say.","He made a _______ comment about her appearance.",nasty
nice,/naɪs/,xinh đẹp ngoan chủ động,adj,"What a nice surprise!","It's _______ to meet you finally.",nice
patient,/ˈpeɪʃənt/,kiên nhẫn bền chí,adj,"Teachers need to be patient.","You need to be _______ when learning a new language.",patient
reliable,/rɪˈlaɪəbəl/,chín chắn đáng tin cậy,adj,"He's a reliable employee.","She's very _______ and always keeps her promises.",reliable
reserved,/rɪˈzɜːvd/,kín đáo ít nói,adj,"He's quite reserved in meetings.","Some people think she's unfriendly but she's just _______.",reserved
rude,/ruːd/,thô lỗ man rợ độc ác,adj,"It's rude to interrupt people.","Don't be _______ to the customers.",rude
selfish,/ˈselfɪʃ/,ích kỷ,adj,"He's too selfish to share.","It's _______ to think only about yourself.",selfish
sensible,/ˈsensəbəl/,biết điều có óc xét đoán,adj,"That's a sensible decision.","It would be _______ to save money for emergencies.",sensible
spiteful,/ˈspaɪtfəl/,hận hộc đầy thù hận,adj,"She made spiteful comments.","Don't be _______ just because you're angry.",spiteful
stubborn,/ˈstʌbən/,bướng bỉnh ngoan cố,adj,"He's too stubborn to admit his mistake.","My grandfather is very _______ and won't change his mind.",stubborn
stupid,/ˈstjuːpɪd/,ngu ngốc chậm hiểu,adj,"That was a stupid mistake.","It was _______ of me to forget my keys.",stupid
tense,/tens/,căng thẳng bồn chồn hồi hộp,adj,"The atmosphere was tense.","Everyone felt _______ before the important exam.",tense
tired,/ˈtaɪəd/,mệt mỏi,adj,"I'm too tired to go out tonight.","After working all day I feel very _______.",tired
tolerant,/ˈtɒlərənt/,khoan dung,adj,"We should be tolerant of differences.","A good teacher is _______ of students' mistakes.",tolerant
trust,/trʌst/,lòng tin sự tin nhiệm,adj,"Trust is important in relationships.","It takes time to build _______ between people.",trust
bigoted,/ˈbɪgətɪd/,tin mù quáng,adj,"His bigoted views offended many.","Don't be _______ towards people who are different.",bigoted
bitchy,/ˈbɪtʃi/,cáu ác ý,adj,"She can be quite bitchy sometimes.","Stop being so _______ about everything.",bitchy
bossy,/ˈbɒsi/,hống hách hách dịch,adj,"My older sister is very bossy.","Don't be so _______ and let others make decisions too.",bossy
careless,/ˈkeələs/,sơ suất bất cẩn,adj,"A careless mistake cost him the game.","He's too _______ with his belongings.",careless
conceited,/kənˈsiːtɪd/,tự phụ tự cao tự đại,adj,"Success made him conceited.","Don't become _______ just because you won once.",conceited
creative,/kriˈeɪtɪv/,sáng tạo,adj,"She's very creative with art.","We need _______ solutions to this problem.",creative
dull,/dʌl/,chậm hiểu ngu dốn thần thờ,adj,"The lecture was rather dull.","The movie was so _______ that I fell asleep.",dull
garrulous,/ˈgærələs/,nói nhiều ba hoa lắm mồm,adj,"My garrulous neighbor talks for hours.","The _______ old man told us many stories.",garrulous
gentle,/ˈdʒentəl/,hiền lành dịu dàng hòa nhã,adj,"She has a gentle personality.","Be _______ with the baby animals.",gentle
greedy,/ˈgriːdi/,tham lam,adj,"Don't be greedy with the cake.","The _______ businessman wanted all the profits.",greedy
gregarious,/grɪˈgeəriəs/,thích đàn đúm thích giao du,adj,"He's naturally gregarious.","_______ people enjoy being around others.",gregarious
