Front	Back	Tags
"<div class=""cloze-container"">
    <div class=""instruction"">💡 Type the missing word and press Enter</div>
    <div class=""question-text"">A {{c1::friendly::Type the word}} person is easy to talk to and makes others feel comfortable.</div>
    <div class=""context-hint"">
        <div class=""hint-title"">🧩 Context clues:</div>
        <div class=""hint-text"">Think about personality traits...</div>
        <div class=""vietnamese-hint"">Nghĩa tiếng Việt: thân thiện</div>
    </div>
</div>

<style>
.cloze-container {
    font-family: 'Segoe UI', Arial, sans-serif;
    background: linear-gradient(135deg, #ff9a9e 0%, #fecfef 50%, #fecfef 100%);
    padding: 25px;
    border-radius: 15px;
    box-shadow: 0 8px 16px rgba(0,0,0,0.2);
    color: #2c3e50;
}

.instruction {
    text-align: center;
    font-size: 16px;
    font-weight: bold;
    color: #e74c3c;
    margin-bottom: 20px;
    padding: 10px;
    background: rgba(255,255,255,0.8);
    border-radius: 8px;
    border-left: 4px solid #e74c3c;
}

.question-text {
    font-size: 20px;
    line-height: 1.6;
    text-align: center;
    margin: 25px 0;
    padding: 20px;
    background: rgba(255,255,255,0.9);
    border-radius: 10px;
    box-shadow: 0 2px 4px rgba(0,0,0,0.1);
}

.context-hint {
    margin-top: 20px;
    padding: 15px;
    background: rgba(255,255,255,0.7);
    border-radius: 10px;
    border-left: 4px solid #3498db;
}

.hint-title {
    font-weight: bold;
    color: #3498db;
    margin-bottom: 8px;
}

.hint-text {
    font-style: italic;
    margin-bottom: 5px;
}

.vietnamese-hint {
    font-size: 14px;
    color: #27ae60;
    font-weight: bold;
}

/* Style for Anki's cloze input */
.cloze {
    background: #fff3cd !important;
    border: 2px solid #ffc107 !important;
    border-radius: 5px !important;
    padding: 5px 10px !important;
    font-size: 18px !important;
    font-weight: bold !important;
    color: #856404 !important;
    min-width: 120px !important;
}
</style>

<script>
// Auto-focus on input when card loads
setTimeout(function() {
    var input = document.querySelector('input[type=""text""]');
    if (input) {
        input.focus();
        input.select();
    }
}, 100);

// Enter key handling for immediate feedback
document.addEventListener('keydown', function(e) {
    if (e.key === 'Enter') {
        var input = document.querySelector('input[type=""text""]');
        if (input && input.value.trim()) {
            // Anki will handle the answer checking
            setTimeout(function() {
                if (input.value.toLowerCase().trim() === 'friendly') {
                    input.style.background = '#d4edda';
                    input.style.borderColor = '#28a745';
                } else {
                    input.style.background = '#f8d7da'; 
                    input.style.borderColor = '#dc3545';
                }
            }, 100);
        }
    }
});
</script>"		fill-in-blank cloze character-traits
"<div class=""cloze-container"">
    <div class=""instruction"">💡 Type the missing word and press Enter</div>
    <div class=""question-text"">Don't be so {{c1::fussy::Type the word}} about small details.</div>
    <div class=""context-hint"">
        <div class=""hint-title"">🧩 Context clues:</div>
        <div class=""hint-text"">Think about personality traits...</div>
        <div class=""vietnamese-hint"">Nghĩa tiếng Việt: cầu kỳ kiểu cách</div>
    </div>
</div>

<style>
.cloze-container {
    font-family: 'Segoe UI', Arial, sans-serif;
    background: linear-gradient(135deg, #ff9a9e 0%, #fecfef 50%, #fecfef 100%);
    padding: 25px;
    border-radius: 15px;
    box-shadow: 0 8px 16px rgba(0,0,0,0.2);
    color: #2c3e50;
}

.instruction {
    text-align: center;
    font-size: 16px;
    font-weight: bold;
    color: #e74c3c;
    margin-bottom: 20px;
    padding: 10px;
    background: rgba(255,255,255,0.8);
    border-radius: 8px;
    border-left: 4px solid #e74c3c;
}

.question-text {
    font-size: 20px;
    line-height: 1.6;
    text-align: center;
    margin: 25px 0;
    padding: 20px;
    background: rgba(255,255,255,0.9);
    border-radius: 10px;
    box-shadow: 0 2px 4px rgba(0,0,0,0.1);
}

.context-hint {
    margin-top: 20px;
    padding: 15px;
    background: rgba(255,255,255,0.7);
    border-radius: 10px;
    border-left: 4px solid #3498db;
}

.hint-title {
    font-weight: bold;
    color: #3498db;
    margin-bottom: 8px;
}

.hint-text {
    font-style: italic;
    margin-bottom: 5px;
}

.vietnamese-hint {
    font-size: 14px;
    color: #27ae60;
    font-weight: bold;
}

/* Style for Anki's cloze input */
.cloze {
    background: #fff3cd !important;
    border: 2px solid #ffc107 !important;
    border-radius: 5px !important;
    padding: 5px 10px !important;
    font-size: 18px !important;
    font-weight: bold !important;
    color: #856404 !important;
    min-width: 120px !important;
}
</style>

<script>
// Auto-focus on input when card loads
setTimeout(function() {
    var input = document.querySelector('input[type=""text""]');
    if (input) {
        input.focus();
        input.select();
    }
}, 100);

// Enter key handling for immediate feedback
document.addEventListener('keydown', function(e) {
    if (e.key === 'Enter') {
        var input = document.querySelector('input[type=""text""]');
        if (input && input.value.trim()) {
            // Anki will handle the answer checking
            setTimeout(function() {
                if (input.value.toLowerCase().trim() === 'fussy') {
                    input.style.background = '#d4edda';
                    input.style.borderColor = '#28a745';
                } else {
                    input.style.background = '#f8d7da'; 
                    input.style.borderColor = '#dc3545';
                }
            }, 100);
        }
    }
});
</script>"		fill-in-blank cloze character-traits
"<div class=""cloze-container"">
    <div class=""instruction"">💡 Type the missing word and press Enter</div>
    <div class=""question-text"">My grandmother is very {{c1::generous::Type the word}} and always helps others.</div>
    <div class=""context-hint"">
        <div class=""hint-title"">🧩 Context clues:</div>
        <div class=""hint-text"">Think about personality traits...</div>
        <div class=""vietnamese-hint"">Nghĩa tiếng Việt: rộng lượng hào phóng</div>
    </div>
</div>

<style>
.cloze-container {
    font-family: 'Segoe UI', Arial, sans-serif;
    background: linear-gradient(135deg, #ff9a9e 0%, #fecfef 50%, #fecfef 100%);
    padding: 25px;
    border-radius: 15px;
    box-shadow: 0 8px 16px rgba(0,0,0,0.2);
    color: #2c3e50;
}

.instruction {
    text-align: center;
    font-size: 16px;
    font-weight: bold;
    color: #e74c3c;
    margin-bottom: 20px;
    padding: 10px;
    background: rgba(255,255,255,0.8);
    border-radius: 8px;
    border-left: 4px solid #e74c3c;
}

.question-text {
    font-size: 20px;
    line-height: 1.6;
    text-align: center;
    margin: 25px 0;
    padding: 20px;
    background: rgba(255,255,255,0.9);
    border-radius: 10px;
    box-shadow: 0 2px 4px rgba(0,0,0,0.1);
}

.context-hint {
    margin-top: 20px;
    padding: 15px;
    background: rgba(255,255,255,0.7);
    border-radius: 10px;
    border-left: 4px solid #3498db;
}

.hint-title {
    font-weight: bold;
    color: #3498db;
    margin-bottom: 8px;
}

.hint-text {
    font-style: italic;
    margin-bottom: 5px;
}

.vietnamese-hint {
    font-size: 14px;
    color: #27ae60;
    font-weight: bold;
}

/* Style for Anki's cloze input */
.cloze {
    background: #fff3cd !important;
    border: 2px solid #ffc107 !important;
    border-radius: 5px !important;
    padding: 5px 10px !important;
    font-size: 18px !important;
    font-weight: bold !important;
    color: #856404 !important;
    min-width: 120px !important;
}
</style>

<script>
// Auto-focus on input when card loads
setTimeout(function() {
    var input = document.querySelector('input[type=""text""]');
    if (input) {
        input.focus();
        input.select();
    }
}, 100);

// Enter key handling for immediate feedback
document.addEventListener('keydown', function(e) {
    if (e.key === 'Enter') {
        var input = document.querySelector('input[type=""text""]');
        if (input && input.value.trim()) {
            // Anki will handle the answer checking
            setTimeout(function() {
                if (input.value.toLowerCase().trim() === 'generous') {
                    input.style.background = '#d4edda';
                    input.style.borderColor = '#28a745';
                } else {
                    input.style.background = '#f8d7da'; 
                    input.style.borderColor = '#dc3545';
                }
            }, 100);
        }
    }
});
</script>"		fill-in-blank cloze character-traits
"<div class=""cloze-container"">
    <div class=""instruction"">💡 Type the missing word and press Enter</div>
    <div class=""question-text"">I am {{c1::grateful::Type the word}} for everything you've done for me.</div>
    <div class=""context-hint"">
        <div class=""hint-title"">🧩 Context clues:</div>
        <div class=""hint-text"">Think about personality traits...</div>
        <div class=""vietnamese-hint"">Nghĩa tiếng Việt: biết ơn</div>
    </div>
</div>

<style>
.cloze-container {
    font-family: 'Segoe UI', Arial, sans-serif;
    background: linear-gradient(135deg, #ff9a9e 0%, #fecfef 50%, #fecfef 100%);
    padding: 25px;
    border-radius: 15px;
    box-shadow: 0 8px 16px rgba(0,0,0,0.2);
    color: #2c3e50;
}

.instruction {
    text-align: center;
    font-size: 16px;
    font-weight: bold;
    color: #e74c3c;
    margin-bottom: 20px;
    padding: 10px;
    background: rgba(255,255,255,0.8);
    border-radius: 8px;
    border-left: 4px solid #e74c3c;
}

.question-text {
    font-size: 20px;
    line-height: 1.6;
    text-align: center;
    margin: 25px 0;
    padding: 20px;
    background: rgba(255,255,255,0.9);
    border-radius: 10px;
    box-shadow: 0 2px 4px rgba(0,0,0,0.1);
}

.context-hint {
    margin-top: 20px;
    padding: 15px;
    background: rgba(255,255,255,0.7);
    border-radius: 10px;
    border-left: 4px solid #3498db;
}

.hint-title {
    font-weight: bold;
    color: #3498db;
    margin-bottom: 8px;
}

.hint-text {
    font-style: italic;
    margin-bottom: 5px;
}

.vietnamese-hint {
    font-size: 14px;
    color: #27ae60;
    font-weight: bold;
}

/* Style for Anki's cloze input */
.cloze {
    background: #fff3cd !important;
    border: 2px solid #ffc107 !important;
    border-radius: 5px !important;
    padding: 5px 10px !important;
    font-size: 18px !important;
    font-weight: bold !important;
    color: #856404 !important;
    min-width: 120px !important;
}
</style>

<script>
// Auto-focus on input when card loads
setTimeout(function() {
    var input = document.querySelector('input[type=""text""]');
    if (input) {
        input.focus();
        input.select();
    }
}, 100);

// Enter key handling for immediate feedback
document.addEventListener('keydown', function(e) {
    if (e.key === 'Enter') {
        var input = document.querySelector('input[type=""text""]');
        if (input && input.value.trim()) {
            // Anki will handle the answer checking
            setTimeout(function() {
                if (input.value.toLowerCase().trim() === 'grateful') {
                    input.style.background = '#d4edda';
                    input.style.borderColor = '#28a745';
                } else {
                    input.style.background = '#f8d7da'; 
                    input.style.borderColor = '#dc3545';
                }
            }, 100);
        }
    }
});
</script>"		fill-in-blank cloze character-traits
"<div class=""cloze-container"">
    <div class=""instruction"">💡 Type the missing word and press Enter</div>
    <div class=""question-text"">An {{c1::honest::Type the word}} person always tells the truth.</div>
    <div class=""context-hint"">
        <div class=""hint-title"">🧩 Context clues:</div>
        <div class=""hint-text"">Think about personality traits...</div>
        <div class=""vietnamese-hint"">Nghĩa tiếng Việt: thật thà lương thiện</div>
    </div>
</div>

<style>
.cloze-container {
    font-family: 'Segoe UI', Arial, sans-serif;
    background: linear-gradient(135deg, #ff9a9e 0%, #fecfef 50%, #fecfef 100%);
    padding: 25px;
    border-radius: 15px;
    box-shadow: 0 8px 16px rgba(0,0,0,0.2);
    color: #2c3e50;
}

.instruction {
    text-align: center;
    font-size: 16px;
    font-weight: bold;
    color: #e74c3c;
    margin-bottom: 20px;
    padding: 10px;
    background: rgba(255,255,255,0.8);
    border-radius: 8px;
    border-left: 4px solid #e74c3c;
}

.question-text {
    font-size: 20px;
    line-height: 1.6;
    text-align: center;
    margin: 25px 0;
    padding: 20px;
    background: rgba(255,255,255,0.9);
    border-radius: 10px;
    box-shadow: 0 2px 4px rgba(0,0,0,0.1);
}

.context-hint {
    margin-top: 20px;
    padding: 15px;
    background: rgba(255,255,255,0.7);
    border-radius: 10px;
    border-left: 4px solid #3498db;
}

.hint-title {
    font-weight: bold;
    color: #3498db;
    margin-bottom: 8px;
}

.hint-text {
    font-style: italic;
    margin-bottom: 5px;
}

.vietnamese-hint {
    font-size: 14px;
    color: #27ae60;
    font-weight: bold;
}

/* Style for Anki's cloze input */
.cloze {
    background: #fff3cd !important;
    border: 2px solid #ffc107 !important;
    border-radius: 5px !important;
    padding: 5px 10px !important;
    font-size: 18px !important;
    font-weight: bold !important;
    color: #856404 !important;
    min-width: 120px !important;
}
</style>

<script>
// Auto-focus on input when card loads
setTimeout(function() {
    var input = document.querySelector('input[type=""text""]');
    if (input) {
        input.focus();
        input.select();
    }
}, 100);

// Enter key handling for immediate feedback
document.addEventListener('keydown', function(e) {
    if (e.key === 'Enter') {
        var input = document.querySelector('input[type=""text""]');
        if (input && input.value.trim()) {
            // Anki will handle the answer checking
            setTimeout(function() {
                if (input.value.toLowerCase().trim() === 'honest') {
                    input.style.background = '#d4edda';
                    input.style.borderColor = '#28a745';
                } else {
                    input.style.background = '#f8d7da'; 
                    input.style.borderColor = '#dc3545';
                }
            }, 100);
        }
    }
});
</script>"		fill-in-blank cloze character-traits
"<div class=""cloze-container"">
    <div class=""instruction"">💡 Type the missing word and press Enter</div>
    <div class=""question-text"">It was {{c1::kind::Type the word}} of you to help me carry these bags.</div>
    <div class=""context-hint"">
        <div class=""hint-title"">🧩 Context clues:</div>
        <div class=""hint-text"">Think about personality traits...</div>
        <div class=""vietnamese-hint"">Nghĩa tiếng Việt: tử tế tốt bụng</div>
    </div>
</div>

<style>
.cloze-container {
    font-family: 'Segoe UI', Arial, sans-serif;
    background: linear-gradient(135deg, #ff9a9e 0%, #fecfef 50%, #fecfef 100%);
    padding: 25px;
    border-radius: 15px;
    box-shadow: 0 8px 16px rgba(0,0,0,0.2);
    color: #2c3e50;
}

.instruction {
    text-align: center;
    font-size: 16px;
    font-weight: bold;
    color: #e74c3c;
    margin-bottom: 20px;
    padding: 10px;
    background: rgba(255,255,255,0.8);
    border-radius: 8px;
    border-left: 4px solid #e74c3c;
}

.question-text {
    font-size: 20px;
    line-height: 1.6;
    text-align: center;
    margin: 25px 0;
    padding: 20px;
    background: rgba(255,255,255,0.9);
    border-radius: 10px;
    box-shadow: 0 2px 4px rgba(0,0,0,0.1);
}

.context-hint {
    margin-top: 20px;
    padding: 15px;
    background: rgba(255,255,255,0.7);
    border-radius: 10px;
    border-left: 4px solid #3498db;
}

.hint-title {
    font-weight: bold;
    color: #3498db;
    margin-bottom: 8px;
}

.hint-text {
    font-style: italic;
    margin-bottom: 5px;
}

.vietnamese-hint {
    font-size: 14px;
    color: #27ae60;
    font-weight: bold;
}

/* Style for Anki's cloze input */
.cloze {
    background: #fff3cd !important;
    border: 2px solid #ffc107 !important;
    border-radius: 5px !important;
    padding: 5px 10px !important;
    font-size: 18px !important;
    font-weight: bold !important;
    color: #856404 !important;
    min-width: 120px !important;
}
</style>

<script>
// Auto-focus on input when card loads
setTimeout(function() {
    var input = document.querySelector('input[type=""text""]');
    if (input) {
        input.focus();
        input.select();
    }
}, 100);

// Enter key handling for immediate feedback
document.addEventListener('keydown', function(e) {
    if (e.key === 'Enter') {
        var input = document.querySelector('input[type=""text""]');
        if (input && input.value.trim()) {
            // Anki will handle the answer checking
            setTimeout(function() {
                if (input.value.toLowerCase().trim() === 'kind') {
                    input.style.background = '#d4edda';
                    input.style.borderColor = '#28a745';
                } else {
                    input.style.background = '#f8d7da'; 
                    input.style.borderColor = '#dc3545';
                }
            }, 100);
        }
    }
});
</script>"		fill-in-blank cloze character-traits
"<div class=""cloze-container"">
    <div class=""instruction"">💡 Type the missing word and press Enter</div>
    <div class=""question-text"">A {{c1::loyal::Type the word}} friend will stand by you through difficult times.</div>
    <div class=""context-hint"">
        <div class=""hint-title"">🧩 Context clues:</div>
        <div class=""hint-text"">Think about personality traits...</div>
        <div class=""vietnamese-hint"">Nghĩa tiếng Việt: trung thành trung nghĩa</div>
    </div>
</div>

<style>
.cloze-container {
    font-family: 'Segoe UI', Arial, sans-serif;
    background: linear-gradient(135deg, #ff9a9e 0%, #fecfef 50%, #fecfef 100%);
    padding: 25px;
    border-radius: 15px;
    box-shadow: 0 8px 16px rgba(0,0,0,0.2);
    color: #2c3e50;
}

.instruction {
    text-align: center;
    font-size: 16px;
    font-weight: bold;
    color: #e74c3c;
    margin-bottom: 20px;
    padding: 10px;
    background: rgba(255,255,255,0.8);
    border-radius: 8px;
    border-left: 4px solid #e74c3c;
}

.question-text {
    font-size: 20px;
    line-height: 1.6;
    text-align: center;
    margin: 25px 0;
    padding: 20px;
    background: rgba(255,255,255,0.9);
    border-radius: 10px;
    box-shadow: 0 2px 4px rgba(0,0,0,0.1);
}

.context-hint {
    margin-top: 20px;
    padding: 15px;
    background: rgba(255,255,255,0.7);
    border-radius: 10px;
    border-left: 4px solid #3498db;
}

.hint-title {
    font-weight: bold;
    color: #3498db;
    margin-bottom: 8px;
}

.hint-text {
    font-style: italic;
    margin-bottom: 5px;
}

.vietnamese-hint {
    font-size: 14px;
    color: #27ae60;
    font-weight: bold;
}

/* Style for Anki's cloze input */
.cloze {
    background: #fff3cd !important;
    border: 2px solid #ffc107 !important;
    border-radius: 5px !important;
    padding: 5px 10px !important;
    font-size: 18px !important;
    font-weight: bold !important;
    color: #856404 !important;
    min-width: 120px !important;
}
</style>

<script>
// Auto-focus on input when card loads
setTimeout(function() {
    var input = document.querySelector('input[type=""text""]');
    if (input) {
        input.focus();
        input.select();
    }
}, 100);

// Enter key handling for immediate feedback
document.addEventListener('keydown', function(e) {
    if (e.key === 'Enter') {
        var input = document.querySelector('input[type=""text""]');
        if (input && input.value.trim()) {
            // Anki will handle the answer checking
            setTimeout(function() {
                if (input.value.toLowerCase().trim() === 'loyal') {
                    input.style.background = '#d4edda';
                    input.style.borderColor = '#28a745';
                } else {
                    input.style.background = '#f8d7da'; 
                    input.style.borderColor = '#dc3545';
                }
            }, 100);
        }
    }
});
</script>"		fill-in-blank cloze character-traits
"<div class=""cloze-container"">
    <div class=""instruction"">💡 Type the missing word and press Enter</div>
    <div class=""question-text"">He became more {{c1::mature::Type the word}} after living independently.</div>
    <div class=""context-hint"">
        <div class=""hint-title"">🧩 Context clues:</div>
        <div class=""hint-text"">Think about personality traits...</div>
        <div class=""vietnamese-hint"">Nghĩa tiếng Việt: trưởng thành</div>
    </div>
</div>

<style>
.cloze-container {
    font-family: 'Segoe UI', Arial, sans-serif;
    background: linear-gradient(135deg, #ff9a9e 0%, #fecfef 50%, #fecfef 100%);
    padding: 25px;
    border-radius: 15px;
    box-shadow: 0 8px 16px rgba(0,0,0,0.2);
    color: #2c3e50;
}

.instruction {
    text-align: center;
    font-size: 16px;
    font-weight: bold;
    color: #e74c3c;
    margin-bottom: 20px;
    padding: 10px;
    background: rgba(255,255,255,0.8);
    border-radius: 8px;
    border-left: 4px solid #e74c3c;
}

.question-text {
    font-size: 20px;
    line-height: 1.6;
    text-align: center;
    margin: 25px 0;
    padding: 20px;
    background: rgba(255,255,255,0.9);
    border-radius: 10px;
    box-shadow: 0 2px 4px rgba(0,0,0,0.1);
}

.context-hint {
    margin-top: 20px;
    padding: 15px;
    background: rgba(255,255,255,0.7);
    border-radius: 10px;
    border-left: 4px solid #3498db;
}

.hint-title {
    font-weight: bold;
    color: #3498db;
    margin-bottom: 8px;
}

.hint-text {
    font-style: italic;
    margin-bottom: 5px;
}

.vietnamese-hint {
    font-size: 14px;
    color: #27ae60;
    font-weight: bold;
}

/* Style for Anki's cloze input */
.cloze {
    background: #fff3cd !important;
    border: 2px solid #ffc107 !important;
    border-radius: 5px !important;
    padding: 5px 10px !important;
    font-size: 18px !important;
    font-weight: bold !important;
    color: #856404 !important;
    min-width: 120px !important;
}
</style>

<script>
// Auto-focus on input when card loads
setTimeout(function() {
    var input = document.querySelector('input[type=""text""]');
    if (input) {
        input.focus();
        input.select();
    }
}, 100);

// Enter key handling for immediate feedback
document.addEventListener('keydown', function(e) {
    if (e.key === 'Enter') {
        var input = document.querySelector('input[type=""text""]');
        if (input && input.value.trim()) {
            // Anki will handle the answer checking
            setTimeout(function() {
                if (input.value.toLowerCase().trim() === 'mature') {
                    input.style.background = '#d4edda';
                    input.style.borderColor = '#28a745';
                } else {
                    input.style.background = '#f8d7da'; 
                    input.style.borderColor = '#dc3545';
                }
            }, 100);
        }
    }
});
</script>"		fill-in-blank cloze character-traits
"<div class=""cloze-container"">
    <div class=""instruction"">💡 Type the missing word and press Enter</div>
    <div class=""question-text"">It's {{c1::mean::Type the word}} to make fun of other people's mistakes.</div>
    <div class=""context-hint"">
        <div class=""hint-title"">🧩 Context clues:</div>
        <div class=""hint-text"">Think about personality traits...</div>
        <div class=""vietnamese-hint"">Nghĩa tiếng Việt: keo kiệt</div>
    </div>
</div>

<style>
.cloze-container {
    font-family: 'Segoe UI', Arial, sans-serif;
    background: linear-gradient(135deg, #ff9a9e 0%, #fecfef 50%, #fecfef 100%);
    padding: 25px;
    border-radius: 15px;
    box-shadow: 0 8px 16px rgba(0,0,0,0.2);
    color: #2c3e50;
}

.instruction {
    text-align: center;
    font-size: 16px;
    font-weight: bold;
    color: #e74c3c;
    margin-bottom: 20px;
    padding: 10px;
    background: rgba(255,255,255,0.8);
    border-radius: 8px;
    border-left: 4px solid #e74c3c;
}

.question-text {
    font-size: 20px;
    line-height: 1.6;
    text-align: center;
    margin: 25px 0;
    padding: 20px;
    background: rgba(255,255,255,0.9);
    border-radius: 10px;
    box-shadow: 0 2px 4px rgba(0,0,0,0.1);
}

.context-hint {
    margin-top: 20px;
    padding: 15px;
    background: rgba(255,255,255,0.7);
    border-radius: 10px;
    border-left: 4px solid #3498db;
}

.hint-title {
    font-weight: bold;
    color: #3498db;
    margin-bottom: 8px;
}

.hint-text {
    font-style: italic;
    margin-bottom: 5px;
}

.vietnamese-hint {
    font-size: 14px;
    color: #27ae60;
    font-weight: bold;
}

/* Style for Anki's cloze input */
.cloze {
    background: #fff3cd !important;
    border: 2px solid #ffc107 !important;
    border-radius: 5px !important;
    padding: 5px 10px !important;
    font-size: 18px !important;
    font-weight: bold !important;
    color: #856404 !important;
    min-width: 120px !important;
}
</style>

<script>
// Auto-focus on input when card loads
setTimeout(function() {
    var input = document.querySelector('input[type=""text""]');
    if (input) {
        input.focus();
        input.select();
    }
}, 100);

// Enter key handling for immediate feedback
document.addEventListener('keydown', function(e) {
    if (e.key === 'Enter') {
        var input = document.querySelector('input[type=""text""]');
        if (input && input.value.trim()) {
            // Anki will handle the answer checking
            setTimeout(function() {
                if (input.value.toLowerCase().trim() === 'mean') {
                    input.style.background = '#d4edda';
                    input.style.borderColor = '#28a745';
                } else {
                    input.style.background = '#f8d7da'; 
                    input.style.borderColor = '#dc3545';
                }
            }, 100);
        }
    }
});
</script>"		fill-in-blank cloze character-traits
"<div class=""cloze-container"">
    <div class=""instruction"">💡 Type the missing word and press Enter</div>
    <div class=""question-text"">She's too {{c1::modest::Type the word}} to talk about her achievements.</div>
    <div class=""context-hint"">
        <div class=""hint-title"">🧩 Context clues:</div>
        <div class=""hint-text"">Think about personality traits...</div>
        <div class=""vietnamese-hint"">Nghĩa tiếng Việt: khiêm tốn nhụt nhi</div>
    </div>
</div>

<style>
.cloze-container {
    font-family: 'Segoe UI', Arial, sans-serif;
    background: linear-gradient(135deg, #ff9a9e 0%, #fecfef 50%, #fecfef 100%);
    padding: 25px;
    border-radius: 15px;
    box-shadow: 0 8px 16px rgba(0,0,0,0.2);
    color: #2c3e50;
}

.instruction {
    text-align: center;
    font-size: 16px;
    font-weight: bold;
    color: #e74c3c;
    margin-bottom: 20px;
    padding: 10px;
    background: rgba(255,255,255,0.8);
    border-radius: 8px;
    border-left: 4px solid #e74c3c;
}

.question-text {
    font-size: 20px;
    line-height: 1.6;
    text-align: center;
    margin: 25px 0;
    padding: 20px;
    background: rgba(255,255,255,0.9);
    border-radius: 10px;
    box-shadow: 0 2px 4px rgba(0,0,0,0.1);
}

.context-hint {
    margin-top: 20px;
    padding: 15px;
    background: rgba(255,255,255,0.7);
    border-radius: 10px;
    border-left: 4px solid #3498db;
}

.hint-title {
    font-weight: bold;
    color: #3498db;
    margin-bottom: 8px;
}

.hint-text {
    font-style: italic;
    margin-bottom: 5px;
}

.vietnamese-hint {
    font-size: 14px;
    color: #27ae60;
    font-weight: bold;
}

/* Style for Anki's cloze input */
.cloze {
    background: #fff3cd !important;
    border: 2px solid #ffc107 !important;
    border-radius: 5px !important;
    padding: 5px 10px !important;
    font-size: 18px !important;
    font-weight: bold !important;
    color: #856404 !important;
    min-width: 120px !important;
}
</style>

<script>
// Auto-focus on input when card loads
setTimeout(function() {
    var input = document.querySelector('input[type=""text""]');
    if (input) {
        input.focus();
        input.select();
    }
}, 100);

// Enter key handling for immediate feedback
document.addEventListener('keydown', function(e) {
    if (e.key === 'Enter') {
        var input = document.querySelector('input[type=""text""]');
        if (input && input.value.trim()) {
            // Anki will handle the answer checking
            setTimeout(function() {
                if (input.value.toLowerCase().trim() === 'modest') {
                    input.style.background = '#d4edda';
                    input.style.borderColor = '#28a745';
                } else {
                    input.style.background = '#f8d7da'; 
                    input.style.borderColor = '#dc3545';
                }
            }, 100);
        }
    }
});
</script>"		fill-in-blank cloze character-traits
